Company,Amount,Year
Ergo Science,0,2001
ESA Inc,0,2001
Essex Medical Systems Plus,0,2001
Enchira Biotechnology Corp,0,2001
Endocare Inc,0,2001
Genaissance Pharmaceuticals,0,2001
American Society for Pharmacology & Therapeutics,0,2001
Analytical & Life Science Systems Assn,0,2001
Assn of Disposable Device Manufacturers,0,2001
Anthra Pharmaceuticals,0,2001
Aai Pharma,0,2001
ADAC Laboratories,0,2001
Alliance USA,0,2001
Alexion Pharmaceuticals,0,2001
American Assn of Pharmaceutical Scientists,0,2001
Alpharma Inc,0,2001
CHIM,0,2001
Colgate-Palmolive Co,0,2001
Coloplast Corp,0,2001
Consortium for Plant Biotech Research,0,2001
Cell Tech,0,2001
Carrington Laboratories,0,2001
Beiersdorf-Jobst Inc,0,2001
Biochemics,0,2001
Astra Tech,0,2001
Augustine Medical,0,2001
SangStat Medical Corp,0,2001
Rotech Healthcare,0,2001
ResMed Inc,0,2001
Reliant Pharmaceuticals,0,2001
Somerset Pharmaceuticals,0,2001
SonoSite Inc,0,2001
Synzyme Technologies,0,2001
Tempur-Medical,0,2001
VISX Inc,0,2001
Weider Nutrition International,0,2001
Welcon Inc,0,2001
Women First HealthCare,0,2001
Xcel Medical Pharmacy,0,2001
LC Technologies,0,2001
Liberty Medical Supply,0,2001
MedAssets Inc,0,2001
Medeva Pharmaceuticals,0,2001
Medix Pharmaceutricals Americas,0,2001
Medline Industries,0,2001
King Pharmaceuticals,0,2001
Knoll Pharmaceutical,0,2001
Jackson Laboratory,0,2001
Jerome Stevens Pharmaceuticals,0,2001
Kemin Foods,0,2001
Kendall Healthcare Products,0,2001
Kensey Nash Corp,0,2001
National Center for Genome Research,0,2001
Mylan Inc,0,2001
Naigai Inc,0,2001
New Jersey Organ & Tissue Sharing Netwk,0,2001
Mobile Medical International Corp,0,2001
Molnlycke Health Care,0,2001
Metamorphix Inc,0,2001
Pharmaceutical Printed Literature Assn,0,2001
Onconova Therapeutics,0,2001
NitroMed Inc,0,2001
Pdi Inc,0,2001
Orphan Medical,0,2001
Ortho Concepts,0,2001
Oxtex International,0,2001
Palomar Medical Technologies,0,2001
Pharmaceutical Research & Manufacturers of America,14260000,2002
Seniors Coalition,9459355,2002
Merck & Co,7330294,2002
Eli Lilly & Co,6800000,2002
AdvaMed,5500000,2002
Bristol-Myers Squibb,4940000,2002
Pfizer Inc,4700000,2002
Wyeth,4134375,2002
GlaxoSmithKline,4100000,2002
Roche Group,4029810,2002
Johnson & Johnson,3970000,2002
Biotechnology Industry Organization,3540000,2002
Novartis AG,3278110,2002
Amgen Inc,3120000,2002
Abbott Laboratories,2600000,2002
Baxter International,1882209,2002
Schering-Plough Corp,1840000,2002
Aventis,1700000,2002
Bayer Corp,1581767,2002
Pharmacia Corp,1351580,2002
Cardinal Health,1280000,2002
AstraZeneca Pharmaceuticals,1160000,2002
Barr Laboratories,1120000,2002
Genzyme Corp,1120000,2002
"Becton, Dickinson & Co",962909,2002
AdvancePCS,940000,2002
Metabolife,930000,2002
Biogen Idec,720000,2002
Purdue Pharma,630000,2002
Medtronic Inc,620000,2002
Teva Pharmaceutical Industries,620000,2002
Millennium Pharmaceuticals,616000,2002
Healthcare Institute of New Jersey,500000,2002
Guidant Corp,480000,2002
Association of Medical Device Reprocessors,440000,2002
Watson Pharmaceuticals,400000,2002
Council on Radionuclides & Radiopharm,380000,2002
Generic Pharmaceutical Assn,360000,2002
Serono Inc,340000,2002
Power Mobility Coalition,320000,2002
Theragenics Corp,300000,2002
Human Genome Sciences,300000,2002
Affymetrix Inc,300000,2002
Ivax Corp,280000,2002
Michigan Biotechnology Institute,275000,2002
St Jude Medical,265000,2002
American Orthotic & Prosthetic Assn,240000,2002
American Herbal Products Assn,240000,2002
Boston Scientific Corp,240000,2002
Empi Inc,230000,2002
Digene Corp,220000,2002
Cephalon Inc,220000,2002
Academy of Managed Care Pharmacies,220000,2002
Roche Holdings,220000,2002
Sepracor Inc,220000,2002
Mentor Corp,220000,2002
Stemcyte Inc,210000,2002
Aspect Medical Systems,210000,2002
Allergan Inc,200000,2002
Diversa Corp,200000,2002
Consumer Healthcare Products Assn,200000,2002
Gilead Sciences,200000,2002
Large Scale Biology,200000,2002
McKesson Corp,200000,2002
Medical Imaging Contrast Agent Assn,200000,2002
Nestle SA,200000,2002
Ranbaxy Pharmaceuticals,200000,2002
Calspan-Univ of Buffalo Research Center,197500,2002
Medical Device Manufacturers Assn,195000,2002
Schering AG,192500,2002
Sunrise Medical,180000,2002
Thoratec Corp,180000,2002
Academy of Radiology Research,180000,2002
Biotech Research & Development Center,162500,2002
Applera Corp,160000,2002
Invacare Corp,160000,2002
Enterix,160000,2002
Cook Group,160000,2002
CR Bard Inc,140000,2002
Genencor International,140000,2002
Actelion Ltd,140000,2002
Alliance for Animal Genome Research,140000,2002
Allegiance Corp,140000,2002
IOGEN Corp,130000,2002
Onconova Therapeutics,125000,2002
National Nutritional Foods Assn,124900,2002
MultiDimensional Imaging,120000,2002
National Alliance for Infusion Therapy,120000,2002
Public Hospital Pharmacy Coalition,120000,2002
Tyco International,120000,2002
Steris Corp,120000,2002
Healthcare Distribution Management Assn,120000,2002
Gambro AB,120000,2002
Council for Responsible Nutrition,120000,2002
Dey LP,120000,2002
Abgenix Inc,120000,2002
CH Boehringer Sohn,120000,2002
Celgene Corp,120000,2002
Caremark Rx,116387,2002
Genesoft Inc,110000,2002
Thermo Fisher Scientific,110000,2002
United Therapeautics,100000,2002
Univec Inc,100000,2002
Sigma-Tau Pharmaceuticals,100000,2002
New Jersey Assn for Biomedical Research,100000,2002
Medicines for Malaria Venture,100000,2002
Indiana Medical Device Mfrs Council,100000,2002
Jackson Laboratory,100000,2002
Coalition for Plant & Life Science,100000,2002
Alphabet Holding Co,100000,2002
American Biosystems,100000,2002
Mylan Inc,90000,2002
Visible Genetics,90000,2002
Elusys Therapeutics,86500,2002
Apotex Inc,85000,2002
Smith & Nephew,85000,2002
Quorex Pharmaceuticals,80000,2002
Triosyn Corp,80000,2002
SW Foundation for Biomedical Research,80000,2002
Varian Medical Systems,80000,2002
Vaxin Pharmaceuticals,80000,2002
Plasma Protein Therapeutics Assn,80000,2002
Research Corporation Technologies,80000,2002
Allegheny General Hospital,80000,2002
Athersys Inc,80000,2002
Avant Immunotherapeutics,80000,2002
Endocare Inc,80000,2002
Genome Action Coalition,80000,2002
DeRoyal Industries,80000,2002
Iquum,80000,2002
Idec Pharmaceuticals,80000,2002
American Jet Injector,70000,2002
Amdec Policy Group,70000,2002
Guilford Pharmaceuticals,60487,2002
Henry Schein Inc,60000,2002
Hill-Rom Holdings,60000,2002
Inologic,60000,2002
Admetech,60000,2002
American Medical Systems,60000,2002
Andrx Corp,60000,2002
Consortium for Plant Biotech Research,60000,2002
Bracco Diagnostics,60000,2002
Pittsburgh Tissue Engineering Initiative,60000,2002
National Orthotic Manufacturers Assn,50615,2002
Viatronix Inc,50000,2002
Orthofix International,45000,2002
Opportunity Medical,40000,2002
Orasure Technologies,40000,2002
Pedorthic Footwear Assn,40000,2002
NxStage Medical,40000,2002
Psychemedics Corp,40000,2002
Respironics Inc,40000,2002
Quintiles Transnational,40000,2002
Reckitt Benckiser Inc,40000,2002
Norbrook Laboratories,40000,2002
Northfield Laboratories,40000,2002
Lifecell Corp,40000,2002
Microban International,40000,2002
Vi Technologies,40000,2002
ViaCell Inc,40000,2002
Rotech Healthcare,40000,2002
Biopure Corp,40000,2002
CancerVax Corp,40000,2002
Cell Therapeutics,40000,2002
Cochlear Corp,40000,2002
Cold Spring Harbor Laboratory,40000,2002
Biocore Medical Technologies,40000,2002
Assn of Clinical Research Organizations,40000,2002
Institute of Heartmath,40000,2002
Hoveround Corp,40000,2002
Direct Supply Inc,40000,2002
Genaissance Pharmaceuticals,40000,2002
Emerging Technology Partners LLC,40000,2002
Ephedra Cmte/Amer Herbal Products Assn,40000,2002
Exact Laboratories,40000,2002
Twin Laboratories,35000,2002
Organogenesis Inc,35000,2002
National Disease Research Interchange,30000,2002
Metastatin Pharmaceuticals,20000,2002
Nu Skin Enterprises,20000,2002
Mobile Medical International Corp,20000,2002
Martek Biosciences,20000,2002
Palomar Medical Technologies,20000,2002
Plasma Products Therapeutic Assn,20000,2002
UroLogix,20000,2002
Utah Natural Products Alliance,20000,2002
Vanguard Medical Concepts,20000,2002
Sterilmed Inc,20000,2002
Cytyc Corp,20000,2002
Deka Research & Development,20000,2002
Hillenbrand Industries,20000,2002
Hollister Inc,20000,2002
HemCon Medical Technologies,20000,2002
King Pharmaceuticals,20000,2002
ANSAR Inc,20000,2002
American Society for Microbiology,20000,2002
Biovail Corp International,20000,2002
Constellation Technology,20000,2002
Pharmafab,15000,2002
Neopharm Inc,12000,2002
Bio Marin Pharmaceutical,10000,2002
Bayer AG,0,2002
Body Media,0,2002
Bone Care International,0,2002
Biomedical Research Institute,0,2002
Colgate-Palmolive Co,0,2002
Coloplast Corp,0,2002
Carrington Laboratories,0,2002
Analytical & Life Science Systems Assn,0,2002
Assn of Disposable Device Manufacturers,0,2002
Astra Tech,0,2002
Aai Pharma,0,2002
Acutemp,0,2002
Agouron Pharmaceuticals,0,2002
Aksys Ltd,0,2002
Alexion Pharmaceuticals,0,2002
KV Pharmaceuticals,0,2002
LC Technologies,0,2002
Liberty Medical Supply,0,2002
Jerome Stevens Pharmaceuticals,0,2002
Kensey Nash Corp,0,2002
Integra LifeSciences,0,2002
Integrated Medical Systems,0,2002
International Pharm Aerosol Consortium,0,2002
Infusion Dynamics,0,2002
Hearing Industries Assn,0,2002
Halsey Pharmaceuticals,0,2002
Health Freedom Fund,0,2002
Healthcare Compliance Packaging Council,0,2002
Herbalife International,0,2002
ICN Pharmaceuticals,0,2002
Cubist Pharmaceuticals,0,2002
Covance Inc,0,2002
DNA Plant Technology Corp,0,2002
DNA Sciences Inc,0,2002
Elan Pharmaceutical Research,0,2002
Eyt,0,2002
Forest Laboratories,0,2002
ESA Inc,0,2002
Ganaden Biotech,0,2002
Naigai Inc,0,2002
National Center for Genome Research,0,2002
New Jersey Center for Biomaterials,0,2002
New Jersey Organ & Tissue Sharing Netwk,0,2002
Medline Industries,0,2002
Medicines Co,0,2002
Molnlycke Health Care,0,2002
Microdose Technologies,0,2002
Metamorphix Inc,0,2002
Pharmathene Inc,0,2002
Philips Electronics,0,2002
Pegasus Airwave,0,2002
Pharmaceutical Printed Literature Assn,0,2002
Pdi Inc,0,2002
Otsuka Pharmaceutical,0,2002
Orphan Medical,0,2002
Ortho Concepts,0,2002
Praecis Pharmaceuticals,0,2002
Regeneration Technologies,0,2002
Reliant Pharmaceuticals,0,2002
Retractable Technologies,0,2002
Sigma-Aldrich Corp,0,2002
SMS Corp,0,2002
Somerset Pharmaceuticals,0,2002
Sabolich Research & Development,0,2002
SangStat Medical Corp,0,2002
Transkaryotic Therapies,0,2002
Synzyme Technologies,0,2002
Tempur-Medical,0,2002
Virtual Drug Development,0,2002
Weider Nutrition International,0,2002
Pharmaceutical Research & Manufacturers of America,16040000,2003
Merck & Co,7460000,2003
Bristol-Myers Squibb,5360000,2003
Seniors Coalition,5270000,2003
Amgen Inc,4960000,2003
AdvaMed,4880000,2003
Eli Lilly & Co,4760000,2003
Johnson & Johnson,4700000,2003
Roche Group,4381693,2003
Biotechnology Industry Organization,4260000,2003
Pfizer Inc,4020000,2003
Sanofi-Aventis,3430712,2003
GlaxoSmithKline,3300000,2003
Wyeth,3100000,2003
Novartis AG,2993706,2003
Abbott Laboratories,2580000,2003
Baxter International,2100000,2003
Schering-Plough Corp,1850000,2003
Biogen Idec,1653251,2003
AstraZeneca Pharmaceuticals,1520000,2003
Bayer Corp,1520000,2003
Tyco International,1520000,2003
Genzyme Corp,1500000,2003
Metabolife International,1450235,2003
Cardinal Health,1380000,2003
Teva Pharmaceutical Industries,1140000,2003
AdvancePCS,1135680,2003
Purdue Pharma,1100000,2003
"Becton, Dickinson & Co",1028165,2003
Barr Laboratories,960000,2003
Millennium Pharmaceuticals,920000,2003
Human Genome Sciences,660000,2003
Medtronic Inc,640000,2003
Mentor Corp,620000,2003
Generic Pharmaceutical Assn,540000,2003
Theragenics Corp,515000,2003
Gambro AB,493360,2003
Guidant Corp,480000,2003
Pharmaceutical Care Management Assn,480000,2003
Watson Pharmaceuticals,480000,2003
Council on Radionuclides & Radiopharm,460000,2003
Boston Scientific Corp,440000,2003
Thoratec Corp,440000,2003
Ivax Corp,400000,2003
Roche Holdings,380000,2003
Healthcare Institute of New Jersey,360000,2003
Hollis-Eden Pharmaceuticals,350000,2003
Power Mobility Coalition,320000,2003
Hoveround Corp,300000,2003
Allergan Inc,300000,2003
Caremark RX,291781,2003
Orasure Technologies,280000,2003
Steris Corp,260000,2003
Calspan-Univ of Buffalo Research Center,242500,2003
Affymetrix Inc,240000,2003
American Orthotic & Prosthetic Assn,240000,2003
Cook Group,240000,2003
Thermogenesis Corp,240000,2003
Varian Medical Systems,240000,2003
Consumer Healthcare Products Assn,220000,2003
Athersys Inc,220000,2003
Nestle SA,220000,2003
Thermo Fisher Scientific,210000,2003
St Jude Medical,200000,2003
Smith & Nephew,200000,2003
Ranbaxy Pharmaceuticals,200000,2003
McKesson Corp,200000,2003
Medical Device Manufacturers Assn,200000,2003
Medical Imaging Contrast Agent Assn,200000,2003
Michigan Biotechnology Institute,200000,2003
Lexicon Genetics,200000,2003
Academy of Managed Care Pharmacies,200000,2003
Academy of Radiology Research,200000,2003
Actelion Ltd,200000,2003
Cephalon Inc,200000,2003
Gilead Sciences,200000,2003
Endocare Inc,200000,2003
Serono Inc,190000,2003
Invacare Corp,180000,2003
Cytomedix Inc,180000,2003
Biopure Corp,180000,2003
Entremed Inc,170000,2003
Onconova Therapeutics,165000,2003
Alpharma Inc,163500,2003
Biotech Research & Development Center,162500,2003
Chiron Corp,160000,2003
American Herbal Products Assn,160000,2003
Genencor International,160000,2003
Stemcyte Inc,160000,2003
Public Hospital Pharmacy Coalition,160000,2003
Mylan Inc,160000,2003
National Nutritional Foods Assn,160000,2003
United Supplement Freedom Assn,154000,2003
Organogenesis Inc,150026,2003
Triosyn Corp,142500,2003
Novo Nordisk Pharmaceuticals,140000,2003
Spherix Inc,140000,2003
Navigant Biotechnologies,140000,2003
Indiana Medical Device Mfrs Council,140000,2003
Healthcare Distribution Management Assn,140000,2003
Empi Inc,140000,2003
Conceptus Inc,140000,2003
Apollo Advisors,140000,2003
Bavarian Nordic,120000,2003
CH Boehringer Sohn,120000,2003
Council for Responsible Nutrition,120000,2003
Diversa Corp,120000,2003
Cyberonics Inc,120000,2003
Dey LP,120000,2003
Laserscope,120000,2003
Kinetic Concepts,120000,2003
MultiDimensional Imaging,120000,2003
Omeros Corp,120000,2003
VaxGen Inc,120000,2003
Vi Technologies,120000,2003
Transscan Medical,110000,2003
Computerized Thermal Imaging,110000,2003
DeRoyal Industries,101342,2003
CyberKnife Coalition,100000,2003
Exact Laboratories,100000,2003
Bayer AG,100000,2003
Branded Pharmaceutical Assn,100000,2003
Allegheny General Hospital,100000,2003
Otsuka Pharmaceutical,100000,2003
Phoenix Scientific,100000,2003
Pittsburgh Tissue Engineering Initiative,100000,2003
Pharmathene Inc,100000,2003
Medicines for Malaria Venture,100000,2003
National Orthotic Manufacturers Assn,90937,2003
Inologic,90000,2003
Sepracor Inc,90000,2003
Discovery Laboratories,90000,2003
Elusys Therapeutics,86000,2003
Guilford Pharmaceuticals,80832,2003
Geno AS,80000,2003
DFB Pharmaceuticals,80000,2003
Consortium for Plant Biotech Research,80000,2003
Cold Spring Harbor Laboratory,80000,2003
American Medical Systems,80000,2003
Amdec Policy Group,80000,2003
Applera Corp,80000,2003
Association of Medical Device Reprocessors,80000,2003
Cell Therapeutics,80000,2003
Clark Realty,80000,2003
Cltn for Competitive Pharma Marketing,80000,2003
Coalition for Plant & Life Science,80000,2003
Coalition/Pres of Compounding Pharmacy,80000,2003
Avant Immunotherapeutics,80000,2003
Bio Marin Pharmaceutical,80000,2003
Solvay SA,80000,2003
Sunrise Medical,80000,2003
SW Foundation for Biomedical Research,80000,2003
Rotech Healthcare,80000,2003
Research Corporation Technologies,80000,2003
Pharmafab,80000,2003
Orthofix International,80000,2003
Otto Bock Health Care,80000,2003
Inovio AS,80000,2003
Iquum,80000,2003
Jackson Laboratory,80000,2003
Norbrook Laboratories,80000,2003
Medicines Co,80000,2003
Vaxin Pharmaceuticals,80000,2003
Mobile Medical International Corp,70000,2003
RX&D;,70000,2003
Exoxemis Inc,70000,2003
Apotex Inc,65000,2003
Biovail Corp International,60000,2003
Cochlear Corp,60000,2003
Bracco Diagnostics,60000,2003
Cerus Corp,60000,2003
Plasma Products Therapeutic Assn,60000,2003
Large Scale Biology,60000,2003
Northfield Laboratories,60000,2003
National Alliance for Infusion Therapy,60000,2003
Lifecell Corp,60000,2003
Institute of Heartmath,60000,2003
Hematech Inc,50000,2003
Alliance for Animal Genome Research,50000,2003
Orapharma,48000,2003
Microdose Technologies,45000,2003
New Jersey Center for Biomaterials,40000,2003
Mobility Products Unlimited,40000,2003
Microban International,40000,2003
Integrated Medical Systems,40000,2003
Infusion Dynamics,40000,2003
Inamed Corp,40000,2003
Hill-Rom Holdings,40000,2003
King Pharmaceuticals,40000,2003
Jarrow Formulas,40000,2003
IOGEN Corp,40000,2003
Polymedica Corp,40000,2003
Pedorthic Footwear Assn,40000,2003
Opportunity Medical,40000,2003
Respironics Inc,40000,2003
Psychemedics Corp,40000,2003
SonoSite Inc,40000,2003
Alexion Pharmaceuticals,40000,2003
Abgenix Inc,40000,2003
Admetech,40000,2003
Acutemp,40000,2003
Assn of Clinical Research Organizations,40000,2003
American Jet Injector,40000,2003
CancerVax Corp,40000,2003
Cellerant Therapeutics,40000,2003
Centrex Inc,40000,2003
Celgene Corp,40000,2003
Body Media,40000,2003
Boiron USA,40000,2003
Biocore Medical Technologies,40000,2003
HemCon Medical Technologies,40000,2003
Henry Schein Inc,40000,2003
GenPhar Inc,40000,2003
Enterix,40000,2003
Epi Pharmaceuticals,40000,2003
CR Bard Inc,40000,2003
Cryolife Inc,40000,2003
Digene Corp,40000,2003
Bone Care International,30000,2003
AFG Biosystems,30000,2003
Adams Laboratories,20000,2003
Aldevron,20000,2003
Algeta AS,20000,2003
Athena ISG/GTXtreme,20000,2003
Carrington Laboratories,20000,2003
Dusa Pharmaceuticals,20000,2003
Constellation Technology,20000,2003
Exact Sciences Corp,20000,2003
Herbalife International,20000,2003
Heyl Chem-Pharm Fabrik,20000,2003
Genome Action Coalition,20000,2003
Sigma-Aldrich Corp,20000,2003
Sigma-Tau Pharmaceuticals,20000,2003
Reckitt Benckiser Inc,20000,2003
Qmed,20000,2003
Quintiles Transnational,20000,2003
Omegatech Interest Holders,20000,2003
Nutritional Health Alliance,20000,2003
Karl Storz Endoscopy-America,20000,2003
Kyphon,20000,2003
Lauras AS,20000,2003
Hollister Inc,20000,2003
Hoana Medical,20000,2003
Idemsa,20000,2003
Univec Inc,20000,2003
ViaCell Inc,20000,2003
Twin Laboratories,20000,2003
